description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
HOME KILLED LAMB-LOIN CHOPS KG,.37199622,.20418249,.16781373,60299,12312,0,0,0,10119,0,0,0,37868,0,0,0,.12482493,,,,-.12477684,,,,0,0,0,,,,,,,.62800378,,,,,,,1,matched (3)
PLUMS PER KG/PACK,.37134668,.18705949,.18428719,21282,3981,1326,201,73,3922,1234,273,146,13379,5574,889,577,.28666797,.25209904,.28142372,.16361129,-.21798353,-.1965338,-.20636989,-.19267692,8134,1363,796,.16301942,.14746882,.091708541,.15170887,.20029347,.18341708,.62865335,.68527168,.65223771,.72487438,.31472829,.34776229,.27512562,1,matched (3)
WOMEN'S SKIRT: CASUAL,.36993092,.1647501,.20518082,49220,8109,1809,293,146,10099,2093,321,209,31012,6238,1285,796,.3510794,.41420367,.4276512,.46707404,-.26816887,-.27836263,-.26957145,-.24759375,10140,1899,1151,.17840236,.15429173,.12684622,.20641026,.16903633,.18158123,.63006908,.61518735,.67667192,.69157255,.38481262,.32332808,.30842745,3,matched (3)
FRIDGE/FREEZER - 2007,.36819172,.20334059,.16485113,1377,280,0,0,0,227,0,0,0,870,0,0,0,.089039914,,,,-.077364944,,,,0,0,0,,,,,,,.63180828,,,,,,,5,matched (3)
WOMEN'S PREMIUM BRANDED DRESS,.36763573,.13841009,.22922562,3887,538,0,0,0,891,0,0,0,2458,0,0,0,.39338729,,,,-.28009063,,,,0,0,0,,,,,,,.63236427,,,,,,,3,matched (3)
VODKA-70 CL BOTTLE,.36704278,.19588809,.17115468,74272,14549,1483,274,187,12712,1440,216,101,47011,4940,1092,661,.095709339,.15948938,.12084031,.096057728,-.085977465,-.12313993,-.1358199,-.1230914,7863,1582,949,.18860486,.17319848,.19704953,.18313621,.13653603,.10642782,.63295722,.62825894,.69026548,.69652265,.37174106,.30973452,.30347735,2,matched (3)
FRESH VEG-BROCCOLI-PER KG,.36669919,.19077609,.17592309,35885,6846,2110,115,30,6313,1279,377,163,22726,7962,1113,551,.19437319,.13286074,.21624924,.20424029,-.15957719,-.13923229,-.11379274,-.12470323,11351,1605,744,.18588671,.071651094,.040322579,.1126773,.23489097,.21908602,.63330084,.70143598,.69345796,.74059141,.29856402,.30654207,.25940859,1,matched (3)
WOMENS BLOUSE / SHIRT 2,.36591184,.16678329,.19912855,31442,5244,1795,330,166,6261,1959,368,231,19937,6438,1210,747,.39454484,.3589181,.35822743,.32991084,-.27223912,-.2674171,-.28889045,-.26161233,10192,1908,1144,.17611852,.17295597,.1451049,.19220957,.19287212,.20192307,.63408816,.63167191,.6341719,.65297204,.36832809,.3658281,.34702796,3,matched (3)
3-PIECE UPHOLSTERED SUITE,.36582214,.17929162,.1865305,15472,2774,0,0,0,2886,0,0,0,9812,0,0,0,.15279146,,,,-.12267697,,,,0,0,0,,,,,,,.63417786,,,,,,,5,matched (3)
SPREADABLE BUTTER,.3642562,.19152893,.17272727,19360,3708,1899,324,208,3344,1644,427,288,12308,4732,917,505,.38557661,.29192874,.37859848,.41636366,-.2702494,-.23898134,-.23074362,-.23275021,8275,1668,1001,.22948641,.19424461,.20779221,.1986707,.25599521,.28771228,.6357438,.57184291,.54976016,.5044955,.42815709,.45023984,.4955045,1,matched (3)
AVOCADO PEAR-EACH,.3618744,.18807115,.17380325,63359,11916,1287,254,63,11012,1285,522,211,40431,7997,1113,690,.23713928,.20199546,.29243824,.31464097,-.19149578,-.17167969,-.087751277,-.098676547,10569,1889,964,.12177122,.13446268,.065352701,.12158199,.2763367,.21887967,.6381256,.75664681,.58920062,.71576762,.2433532,.41079938,.28423238,1,matched (3)
HI-FI,.36174023,.14589697,.21584326,9493,1385,847,0,0,2049,1245,0,0,6059,3043,0,0,.15507038,.13083923,,,-.10503529,-.1073021,,,5135,0,0,.16494645,,,.24245375,,,.63825977,.59259981,,,.40740019,,,9,matched (3)
GIRLS FASHION TOP 12-13 YEARS,.36149704,.17466772,.18682933,26559,4639,1234,280,161,4962,1301,242,131,16958,4277,790,510,.2769756,.29704729,.43953958,.53933477,-.23444118,-.24755584,-.24927139,-.22834508,6812,1312,802,.18115091,.21341464,.20074813,.1909865,.18445122,.16334164,.63850296,.62786257,.60213417,.63591021,.37213743,.39786586,.36408979,3,matched (3)
VACUUM CLEANER - 2005,.36087692,.15570545,.20517145,1779,277,0,0,0,365,0,0,0,1137,0,0,0,.20721619,,,,-.12009899,,,,0,0,0,,,,,,,.63912308,,,,,,,5,matched (3)
FRUIT DRINK BOTTLE 4-8 PACK,.36054105,.1872656,.17327546,23731,4444,1251,352,233,4112,1222,294,157,15175,4859,819,499,.52814174,.65956384,.48035714,.51999998,-.33028799,-.37475184,-.31874874,-.28916463,7332,1465,889,.17062193,.24027304,.26209223,.16666667,.2006826,.17660293,.63945895,.66271138,.55904436,.56130481,.33728862,.44095564,.43869516,1,matched (3)
MP4 PLAYER 2010,.35966542,.23977695,.11988848,1076,258,0,0,0,129,0,0,0,689,0,0,0,.066971153,,,,-.037996102,,,,0,0,0,,,,,,,.64033455,,,,,,,9,matched (3)
DVD/BLU RAY PLAYER,.359447,.25345623,.10599078,217,55,0,170,88,23,0,238,151,139,0,1219,781,.090925619,,.085154161,.054921441,-.034827594,,-.11670925,-.075992063,0,1627,1020,,.10448679,.086274512,,.1462815,.14803922,.640553,,.7492317,.76568627,,.25076827,.23431373,9,matched (3)
WIDESCREEN TV - 2005,.35792881,.12038835,.23754045,1545,186,0,0,0,367,0,0,0,992,0,0,0,.16525464,,,,-.12063939,,,,0,0,0,,,,,,,.64207119,,,,,,,9,matched (3)
ELECTRIC RAZOR,.35695899,.16327825,.19368075,26807,4377,823,255,133,5192,864,233,128,17238,2773,461,333,.30578342,.33750799,.35608938,.42404935,-.19936329,-.23976775,-.25166792,-.25062615,4460,949,594,.18452914,.26870391,.22390573,.19372198,.24552161,.21548821,.64304101,.62174886,.48577449,.56060606,.37825114,.51422548,.43939394,12,matched (3)
AUTO WASHING MACHINE-NO DRYER,.35377586,.15186475,.20191109,31291,4752,0,0,0,6318,0,0,0,20221,0,0,0,.073890857,,,,-.060709294,,,,0,0,0,,,,,,,.64622414,,,,,,,5,matched (3)
LIQUID SOAP 200-300ML,.35248303,.17932603,.17315701,25936,4651,1112,121,81,4491,1209,108,49,16794,5539,991,575,.68957305,.67588627,.41472018,.42862922,-.39852849,-.37270513,-.24910313,-.29794973,7860,1220,705,.14147583,.099180326,.11489362,.15381679,.088524587,.069503546,.64751697,.70470738,.81229508,.81560284,.29529262,.18770492,.18439716,12,matched (3)
CIGARETTES 11,.35241365,.27699867,.075415,20964,5807,0,0,0,1581,0,0,0,13576,0,0,0,.026363594,,,,-.01880753,,,,0,0,0,,,,,,,.64758635,,,,,,,2,matched (3)
WASHING LIQUID 800ML/1.5LTR,.35158503,.18119596,.17038906,2776,503,401,273,187,473,368,245,139,1800,1416,870,522,.44193012,.42679489,.46996528,.50749999,-.27775538,-.28380927,-.34395033,-.32948717,2185,1388,848,.18352403,.19668588,.22051887,.16842106,.17651297,.1639151,.64841497,.6480549,.62680113,.61556602,.3519451,.37319887,.38443398,5,matched (3)
ORANGES-CLASS 1-EACH,.34816822,.18372756,.16444066,85654,15737,1167,242,118,14085,1023,234,76,55832,9284,1289,695,.19957368,.19368163,.19186515,.16352037,-.17164354,-.17155349,-.21407686,-.24862471,11474,1765,889,.10170821,.13711049,.1327334,.089158095,.13257791,.08548931,.65183181,.80913371,.73031163,.78177726,.19086631,.2696884,.21822271,1,matched (3)
QUICHE 340G-450GQUICHE 340G-450GQUICHE 340G-450G,.34732604,.18899751,.15832855,5217,986,824,292,175,826,731,193,92,3405,3025,1166,733,.23531491,.24529715,.1515411,.16579908,-.17978162,-.18660954,-.13859035,-.1434837,4580,1651,1000,.17991266,.17686251,.175,.15960699,.11689885,.092,.65267396,.66048032,.70623863,.73299998,.33951965,.29376137,.26699999,1,matched (3)
AUTOMATIC WASHING MACHINE,.34706175,.14414866,.20291311,1991,287,0,0,0,404,0,0,0,1300,0,0,0,.12393485,,,,-.11309258,,,,0,0,0,,,,,,,.65293825,,,,,,,5,matched (3)
WOMEN'S DRESS-WORK/FORMAL 1,.34668609,.13401312,.21267298,1373,184,0,0,0,292,0,0,0,897,0,0,0,.26421839,,,,-.26798907,,,,0,0,0,,,,,,,.65331393,,,,,,,3,matched (3)
BAKED BEANS-415-420G TIN 4 PK,.34609929,.18524823,.16085106,7050,1306,0,0,0,1134,0,0,0,4610,0,0,0,.18960728,,,,-.17022045,,,,0,0,0,,,,,,,.65390068,,,,,,,1,matched (3)
WOMENS SHORT SLEEVE TOP,.34537214,.12613294,.21923922,14564,1837,0,0,0,3193,0,0,0,9534,0,0,0,.24367699,,,,-.25233191,,,,0,0,0,,,,,,,.65462786,,,,,,,3,matched (3)
ELECTRIC HAIR STYLING APP,.34500793,.1659271,.17908083,25240,4188,1385,326,179,4520,1426,316,213,16532,4546,925,608,.35509354,.38073,.49223712,.55226445,-.24412872,-.24122503,-.28841165,-.26645061,7357,1567,1000,.18825608,.20804085,.17900001,.193829,.20165922,.213,.6549921,.61791492,.59029996,.60799998,.38208508,.40970007,.39200002,12,matched (3)
ROSE WINE-75CL BOTTLE,.34447956,.18263619,.16184339,16448,3004,729,172,87,2662,644,179,110,10782,3129,453,274,.22194245,.18089962,.2169379,.22661966,-.19367175,-.16010143,-.17840885,-.16947137,4502,804,471,.16192803,.21393035,.18471338,.14304754,.22263682,.23354565,.65552044,.69502443,.56343281,.58174098,.30497557,.43656719,.41825902,2,matched (3)
DVD PLAYER,.3442511,.15754008,.18671101,11724,1847,962,0,0,2189,1062,0,0,7688,3557,0,0,.15842457,.15643704,,,-.09455435,-.10279197,,,5581,0,0,.17237054,,,.19028848,,,.6557489,.63734096,,,.36265904,,,9,matched (3)
VACUUM CLEANER - 2006,.3439759,.20481928,.13915662,1660,340,0,0,0,231,0,0,0,1089,0,0,0,.2722677,,,,-.16809182,,,,0,0,0,,,,,,,.6560241,,,,,,,5,matched (3)
WOMEN'S LONG SLV TOP-NT BLOUSE,.34266871,.15173909,.19092962,55345,8398,1935,338,191,10567,2108,370,227,36380,6169,1140,711,.35510466,.39457512,.39599025,.40358439,-.26355702,-.29840007,-.27804911,-.27419275,10212,1848,1129,.18948296,.18290043,.16917627,.20642382,.20021646,.20106289,.65733129,.60409319,.6168831,.62976086,.39590678,.3831169,.37023914,3,matched (3)
RED WINE- NEW WORLD 75CL,.34219778,.18082969,.16136809,39822,7201,1253,341,188,6426,1070,322,182,26195,5314,823,515,.23097347,.19128469,.18428755,.19849938,-.20081891,-.19152963,-.1528441,-.14990769,7637,1486,885,.16406967,.2294751,.21242937,.14010738,.21668909,.20564972,.65780222,.69582295,.55383581,.58192092,.30417705,.44616419,.41807908,2,matched (3)
RED OR WHITE SPARKLING WINE,.34212977,.18184237,.1602874,22547,4100,1469,309,158,3614,1219,296,184,14833,4846,967,594,.26152122,.23260102,.28824127,.30690029,-.21743217,-.20709364,-.19752231,-.1953382,7534,1572,936,.19498275,.19656488,.16880342,.16179985,.18829517,.1965812,.65787023,.64321738,.61513996,.63461536,.35678262,.38486004,.36538464,2,matched (3)
WOMEN'S CASUAL OUTER JACKET,.34118354,.14680436,.19437918,54903,8060,1740,307,143,10672,1818,318,215,36171,6586,1246,754,.32354477,.34520599,.33812064,.3661747,-.25025654,-.2756384,-.23689739,-.24671336,10144,1871,1112,.17152996,.16408338,.12859713,.17921925,.16996258,.19334532,.65881646,.64925081,.66595405,.67805755,.35074919,.33404595,.32194245,3,matched (3)
FRIDGE/FREEZER - 2006,.33846155,.18528429,.15317726,1495,277,0,0,0,229,0,0,0,989,0,0,0,.11390352,,,,-.14995748,,,,0,0,0,,,,,,,.66153848,,,,,,,5,matched (3)
WOMEN'S DRESS-MAN-MADE FIBRE-2,.33811712,.12939151,.2087256,8710,1127,0,0,0,1818,0,0,0,5765,0,0,0,.38684985,,,,-.26678529,,,,0,0,0,,,,,,,.66188288,,,,,,,3,matched (3)
CIGARETTES 3,.33663967,.25600314,.080636531,28027,7175,0,0,0,2260,0,0,0,18592,0,0,0,.021200852,,,,-.011703534,,,,0,0,0,,,,,,,.66336036,,,,,,,2,matched (3)
POTATOES-OLD-LOOSE-WHITE-PERKG,.33565322,.19251424,.14313897,18248,3513,0,0,0,2612,0,0,0,12123,0,0,0,.1998246,,,,-.19320077,,,,0,0,0,,,,,,,.66434675,,,,,,,1,matched (3)
COLOUR TV 25-28INCH (63-72CM),.33452168,.11645871,.21806298,1683,196,0,0,0,367,0,0,0,1120,0,0,0,.067136936,,,,-.094763331,,,,0,0,0,,,,,,,.66547829,,,,,,,9,matched (3)
HIFI - 2008,.33375078,.10331872,.23043206,1597,165,0,0,0,368,0,0,0,1064,0,0,0,.14675653,,,,-.11365131,,,,0,0,0,,,,,,,.66624922,,,,,,,9,matched (3)
DINING ROOM TABLE & 4-6 CHAIRS,.33342877,.16660427,.1668245,45407,7565,28,0,0,7575,76,0,0,30267,125,0,0,.16585387,.051044084,,,-.14289564,-.26290998,,,229,0,0,.12227074,,,.33187774,,,.66657126,.54585153,,,.45414847,,,5,matched (3)
FRZEN ROASTING CHICKEN PER KG,.33319587,.17372377,.15947209,21822,3791,0,0,0,3480,0,0,0,14551,0,0,0,.13005179,,,,-.10879944,,,,0,0,0,,,,,,,.66680413,,,,,,,1,matched (3)
ORGANIC DESSERT APPLES KG,.33287388,.16815989,.16471399,1451,244,0,0,0,239,0,0,0,968,0,0,0,.19228157,,,,-.13322389,,,,0,0,0,,,,,,,.66712612,,,,,,,1,matched (3)
COLA/FIZZY DRINK 330ML PK 4-8,.33191949,.17508385,.15683566,10138,1775,1384,302,173,1590,1238,342,203,6773,4744,744,468,.32040998,.29630813,.28247026,.29800001,-.24499553,-.23116414,-.21294063,-.21487711,7366,1388,844,.18789031,.21757925,.20497631,.16806951,.24639769,.24052133,.66808051,.64404017,.53602308,.55450237,.35595983,.46397692,.44549763,1,matched (3)
RES2 Womens jumper,.33189654,.14482759,.18706897,1160,168,0,0,0,217,0,0,0,775,0,0,0,.32246476,,,,-.24888992,,,,0,0,0,,,,,,,.66810346,,,,,,,,matched (3)
DINING TABLE & 2-6 CHAIRSDINING TABLE & 2-6 CHAIRSDINING TABLE & 2-6 CHAIRS,.33179253,.16877113,.16302142,8870,1497,1354,221,144,1446,1300,212,133,5927,5576,869,514,.14511824,.14621729,.19807687,.22104663,-.1402436,-.14282981,-.1195043,-.097965367,8230,1302,791,.16452006,.16973886,.18204804,.15795869,.16282642,.16814159,.66820747,.67752129,.66743469,.64981037,.32247874,.33256528,.35018963,5,matched (3)
COFFEE TABLE -2,.33100742,.15263847,.17836896,2293,350,0,0,0,409,0,0,0,1534,0,0,0,.16363598,,,,-.15247197,,,,0,0,0,,,,,,,.66899258,,,,,,,5,matched (3)
GIRLS'S SKIRT-CASUAL,.33032393,.13276686,.19755709,1883,250,0,0,0,372,0,0,0,1261,0,0,0,.23551978,,,,-.22508249,,,,0,0,0,,,,,,,.66967607,,,,,,,3,matched (3)
RES1 Women's jeans branded,.32947367,.15578948,.17368421,950,148,0,0,0,165,0,0,0,637,0,0,0,.2919229,,,,-.20361373,,,,0,0,0,,,,,,,.67052633,,,,,,,,matched (3)
MILK FLAVOURED 330-500MLS/GMS,.32928681,.17176096,.15752584,13839,2377,1225,222,124,2180,1057,206,146,9282,4268,842,562,.58592796,.45642796,.51286763,.48196077,-.35122702,-.3198595,-.32565731,-.31209454,6550,1270,832,.18702289,.17480315,.14903846,.16137405,.16220473,.17548077,.67071319,.65160304,.66299212,.67548078,.34839696,.33700788,.32451922,1,matched (3)
WOMEN'S SUIT,.32925153,.14360553,.185646,15271,2193,0,0,0,2835,0,0,0,10243,0,0,0,.13609171,,,,-.14660728,,,,0,0,0,,,,,,,.67074847,,,,,,,3,matched (3)
"SETTEE,NON LEATHER - SEE HELP",.32779968,.16460326,.1631964,3554,585,459,262,169,580,426,234,132,2389,1958,965,583,.16819023,.18621355,.19526742,.21353887,-.14928676,-.14233658,-.16551524,-.17958353,2843,1461,884,.16144918,.17932923,.19117647,.14984171,.16016427,.14932127,.67220032,.68870914,.66050649,.65950227,.31129089,.33949351,.34049773,5,matched (3)
WOMEN'S DRESS-CASUAL 1,.32737172,.091757387,.23561431,1286,118,0,0,0,303,0,0,0,865,0,0,0,.26325288,,,,-.25586665,,,,0,0,0,,,,,,,.67262828,,,,,,,3,matched (3)
ELECTRIC FRIDGE/FREEZER,.32653385,.148708,.17782587,31424,4673,0,0,0,5588,0,0,0,21163,0,0,0,.079468764,,,,-.066781014,,,,0,0,0,,,,,,,.67346615,,,,,,,5,matched (3)
ELECTRIC COOKER,.32622677,.15530701,.17091978,52393,8137,886,219,138,8955,1041,257,174,35301,2962,425,208,.094458044,.11231738,.069737151,.071497619,-.086375341,-.076875769,-.068741769,-.058509536,4889,901,520,.18122315,.24306326,.26538461,.21292698,.28523862,.33461538,.67377323,.60584986,.47169811,.40000001,.39415014,.52830189,.60000002,5,matched (3)
GIRLS JACKET (5-15 YEARS),.32558373,.15751566,.16806807,29851,4702,1651,277,165,5017,1593,303,216,20132,6811,1201,662,.3159329,.29680109,.37209627,.37533212,-.25537652,-.25500852,-.21863154,-.23328699,10055,1781,1043,.16419692,.1555306,.15819751,.15842864,.17012914,.20709492,.67441624,.67737442,.67434025,.63470757,.32262558,.32565975,.36529243,3,matched (3)
WOMEN'S JUMPER,.32344502,.14257352,.1808715,78072,11131,1938,395,189,14121,2237,364,243,52820,5824,1146,691,.30068427,.40885887,.32764381,.32121068,-.23295924,-.28090733,-.27593082,-.25503337,9999,1905,1123,.19381939,.20734908,.1682992,.22372237,.19107611,.21638468,.67655498,.58245826,.60157478,.61531609,.41754174,.39842519,.38468388,3,matched (3)
PACK OF 5-6 INDIVIDUAL CAKES,.3224943,.16390206,.15859224,22788,3735,821,199,107,3614,719,202,126,15439,2792,392,230,.32153028,.53395832,.61562502,.59000003,-.21441145,-.35180077,-.34297889,-.32603896,4332,793,463,.18951985,.25094578,.23110151,.16597414,.25472888,.27213824,.67750573,.64450598,.49432534,.49676025,.35549399,.50567466,.50323975,1,matched (3)
RES1 Women's jumper,.32107496,.13437058,.18670438,707,95,0,0,0,132,0,0,0,480,0,0,0,.41514677,,,,-.26206121,,,,0,0,0,,,,,,,.67892504,,,,,,,,matched (3)
FRESH VEG-ONIONS-PER KG,.32035646,.17086206,.14949439,88311,15089,1425,216,126,13202,1010,197,46,60020,9112,1324,656,.17492975,.16299625,.17113808,.17873017,-.15488258,-.13871066,-.18904996,-.21665092,11547,1737,828,.12340868,.12435233,.15217391,.087468609,.11341393,.055555556,.67964351,.7891227,.76223373,.79227054,.21087728,.23776627,.20772946,1,matched (3)
BRAND CHOC SWEETS 100-185G BAG,.32015404,.16046213,.15969191,15580,2500,1185,160,72,2488,1160,211,105,10592,3656,576,335,.61859745,.54032409,.5,.5,-.3604849,-.33384416,-.33854169,-.34166667,6001,947,512,.19746709,.1689546,.140625,.19330111,.22280887,.20507813,.67984593,.60923177,.60823655,.65429688,.3907682,.39176345,.34570313,1,matched (3)
